City_ID,City,Country,Lat,Lng,Max Temp,%Humidity,%Cloudiness,Wind Speed,Description
243,Krasnoselkup,RU,65.7,82.4667,1.98,100,100,8.25,overcast clouds
244,Nicoya,CR,10.1483,-85.452,81.93,53,100,9.6,overcast clouds
245,Hendek,TR,40.7994,30.7481,44.96,72,88,4.83,overcast clouds
246,Ahipara,NZ,-35.1667,173.1667,71.35,56,0,7.2,clear sky
247,Georgetown,MY,5.4112,100.3354,80.53,93,20,3.44,thunderstorm
248,Zeya,RU,53.75,127.2667,26.71,62,98,7.85,overcast clouds
249,Manokwari,ID,-0.8667,134.0833,82.99,70,86,3.62,overcast clouds
250,Zhangjiakou,CN,40.81,114.8794,42.01,29,0,4.68,clear sky
251,Qui Nhon,VN,13.7667,109.2333,80.19,82,100,9.37,overcast clouds
252,Calabozo,VE,8.9242,-67.4293,87.85,41,99,3.8,overcast clouds
253,Lunglei,IN,22.8833,92.7333,63.05,93,99,2.86,overcast clouds
254,Marechal Candido Rondon,BR,-24.5561,-54.0567,66.27,78,0,2.98,clear sky
255,Dongning,CN,44.0622,131.1207,44.15,33,0,12.88,clear sky
256,Portsmouth,GB,50.799,-1.0913,44.19,92,0,1.01,clear sky
257,Eyl,SO,7.9803,49.8164,73.98,77,49,9.57,scattered clouds
258,Careiro Da Varzea,BR,-3.2003,-59.8119,79.41,94,100,2.3,overcast clouds
259,Amuntai,ID,-2.4177,115.2494,80.53,81,100,0.85,moderate rain
260,Bella Vista,US,36.4295,-94.2316,61.32,32,0,12.66,clear sky
261,Djambala,CG,-2.5447,14.7533,69.67,88,100,3.78,overcast clouds
262,Cabo San Lucas,MX,22.8909,-109.9124,85.3,21,40,0.0,scattered clouds
263,Locri,IT,38.2414,16.2623,57.33,92,100,10.74,overcast clouds
264,Solnechnyy,RU,50.7214,136.6319,25.7,65,29,1.28,scattered clouds
265,Lompoc,US,34.6391,-120.4579,62.53,73,100,32.99,overcast clouds
